date,interest,province,month,year,Shopping,First_Nations_Topic,chewing_shopping,ecig_search
2018-01,35,SK,01,2018,27,89,,59
2018-02,33,SK,02,2018,45,95,,55
2018-03,40,SK,03,2018,40,100,,50
2018-04,35,SK,04,2018,38,82,,48
2018-05,38,SK,05,2018,25,87,,48
2018-06,32,SK,06,2018,25,86,,50
2018-07,42,SK,07,2018,46,60,,52
2018-08,58,SK,08,2018,38,58,,57
2018-09,55,SK,09,2018,42,83,,63
2018-10,38,SK,10,2018,34,85,,66
2018-11,49,SK,11,2018,34,85,,68
2018-12,67,SK,12,2018,42,73,,70
2019-01,40,SK,01,2019,48,85,,67
2019-02,45,SK,02,2019,43,79,,65
2019-03,50,SK,03,2019,36,88,,68
2019-04,47,SK,04,2019,38,83,,63
2019-05,48,SK,05,2019,34,96,,62
2019-06,50,SK,06,2019,32,77,,64
2019-07,60,SK,07,2019,42,48,,66
2019-08,62,SK,08,2019,47,46,,72
2019-09,33,SK,09,2019,46,73,,82
2019-10,43,SK,10,2019,33,71,,54
2019-11,41,SK,11,2019,44,75,,59
2019-12,40,SK,12,2019,35,54,,57
2020-01,27,SK,01,2020,28,68,,48
2020-02,41,SK,02,2020,40,72,,53
2020-03,45,SK,03,2020,33,58,,49
2020-04,44,SK,04,2020,34,45,,46
2020-05,32,SK,05,2020,25,44,,40
2020-06,39,SK,06,2020,32,47,,41
2020-07,33,SK,07,2020,36,41,,45
2020-08,48,SK,08,2020,30,40,,50
2020-09,47,SK,09,2020,42,61,,50
2020-10,39,SK,10,2020,36,61,,53
2020-11,36,SK,11,2020,40,58,,43
2020-12,40,SK,12,2020,38,49,,49
2021-01,41,SK,01,2021,46,53,,49
2021-02,43,SK,02,2021,21,50,,50
2021-03,49,SK,03,2021,34,58,,50
2021-04,44,SK,04,2021,33,51,,47
2021-05,49,SK,05,2021,33,49,,50
2021-06,49,SK,06,2021,41,68,,51
2021-07,65,SK,07,2021,31,51,,62
2021-08,71,SK,08,2021,53,44,,64
2021-09,76,SK,09,2021,46,67,,60
2021-10,75,SK,10,2021,44,52,,66
2021-11,62,SK,11,2021,43,59,,58
2021-12,68,SK,12,2021,60,50,,61
2022-01,72,SK,01,2022,46,51,,67
2022-02,66,SK,02,2022,54,61,,61
2022-03,71,SK,03,2022,48,72,,66
2022-04,74,SK,04,2022,47,66,,70
2022-05,85,SK,05,2022,52,62,,74
2022-06,91,SK,06,2022,38,69,,74
2022-07,91,SK,07,2022,76,47,,77
2022-08,100,SK,08,2022,61,44,,82
2022-09,73,SK,09,2022,63,79,,75
2022-10,63,SK,10,2022,55,65,,75
2022-11,69,SK,11,2022,36,70,,68
2022-12,75,SK,12,2022,59,52,,79
2023-01,70,SK,01,2023,58,70,,82
2023-02,65,SK,02,2023,59,66,,79
2023-03,58,SK,03,2023,45,90,,74
2023-04,53,SK,04,2023,42,69,,77
2023-05,69,SK,05,2023,53,91,,78
